Task ID;Creation date;Creator;Category;Priority;Description;Planned End Date;AI Notes;Status;Real End Date
1;20/08/2025;Matteo Griso;Marketing Strategy;1;Define marketing strategy. What social networks and platforms to use. Limit them to 3. Create a publishing plan. Update task list accordingly;20/08/2025;Social media strategy developed (LinkedIn, X, Medium) and content pillars defined.;Done;21/08/2025
2;21/08/2025;Marketing Manager;Content Planning;1;Create a content calendar for the first month based on the social media strategy.;21/09/2025;September 2025 content calendar created and saved.;Done;21/08/2025
3;21/08/2025;Marketing Manager;Content Creation;1;Draft the first introductory blog post for Medium.;28/09/2025;Introductory blog post drafted and saved.;Done;21/08/2025
4;21/08/2025;Marketing Manager;Visual Design;2;Design initial visual assets (e.g., logos, banners, simple infographics) for social media.;05/10/2025;Visual asset design brief created and saved.;Done;21/08/2025
5;21/08/2025;Marketing Manager;Outreach;2;Research and identify key blockchain and supply chain influencers for potential collaborations.;12/10/2025;;Proposal;
6;21/08/2025;Marketing Manager;Lead Generation;3;Develop a basic email newsletter signup form and strategy.;19/10/2025;;Proposal;
7;21/08/2025;Marketing Manager;Social Media Post;2;LinkedIn Post (Sept 2): What is an NFT in Supply Chain and Why Does it Matter? (Education & Awareness);02/09/2025;;Proposal;
8;21/08/2025;Marketing Manager;Social Media Post;2;X Post (Sept 2): Blockchain & NFTs in Supply Chain (Education & Awareness);02/09/2025;;Proposal;
9;21/08/2025;Marketing Manager;Social Media Post;2;LinkedIn Post (Sept 4): The Future of Transparent Supply Chains (Industry Insights & Thought Leadership);04/09/2025;;Proposal;
10;21/08/2025;Marketing Manager;Social Media Post;2;X Post (Sept 4): Poll - Supply Chain Challenges (Community Engagement & Support);04/09/2025;;Proposal;
11;21/08/2025;Marketing Manager;Social Media Post;3;X Post (Sept 5): Behind the Scenes - Dev Team (Behind the Scenes & Team Culture);05/09/2025;;Proposal;
12;21/08/2025;Marketing Manager;Social Media Post;2;LinkedIn Post (Sept 9): Introducing Certix's Dispute Resolution Feature (Product Features & Updates);09/09/2025;;Proposal;
13;21/08/2025;Marketing Manager;Social Media Post;2;X Post (Sept 9): New ProductEscrow contract deployed (Product Features & Updates);09/09/2025;;Proposal;
14;21/08/2025;Marketing Manager;Social Media Post;2;LinkedIn Post (Sept 11): Community Feedback on Supply Chain Transparency (Community Engagement & Support);11/09/2025;;Proposal;
15;21/08/2025;Marketing Manager;Social Media Post;2;X Post (Sept 11): Brands exploring NFTs for authentication (Industry Insights & Thought Leadership);11/09/2025;;Proposal;
16;21/08/2025;Marketing Manager;Social Media Post;3;X Post (Sept 12): The Power of Immutable Records (Education & Awareness - Teaser);12/09/2025;;Proposal;
17;21/08/2025;Marketing Manager;Social Media Post;2;LinkedIn Post (Sept 16): The Power of Immutable Records (Education & Awareness);16/09/2025;;Proposal;
18;21/08/2025;Marketing Manager;Social Media Post;2;X Post (Sept 16): Step-by-Step Guide to Tracking (Product Features & Updates);16/09/2025;;Proposal;
19;21/08/2025;Marketing Manager;Social Media Post;2;LinkedIn Post (Sept 18): Meet the Visionaries (Behind the Scenes & Team Culture);18/09/2025;;Proposal;
20;21/08/2025;Marketing Manager;Social Media Post;2;X Post (Sept 18): AMA Session Teaser (Community Engagement & Support);18/09/2025;;Proposal;
21;21/08/2025;Marketing Manager;Social Media Post;3;X Post (Sept 19): Why Decentralization is Crucial (Industry Insights & Thought Leadership);19/09/2025;;Proposal;
22;21/08/2025;Marketing Manager;Social Media Post;2;LinkedIn Post (Sept 23): New UI Enhancements (Product Features & Updates);23/09/2025;;Proposal;
23;21/08/2025;Marketing Manager;Social Media Post;2;X Post (Sept 23): Certix ensures authenticity (Education & Awareness);23/09/2025;;Proposal;
24;21/08/2025;Marketing Manager;Social Media Post;2;LinkedIn Post (Sept 25): Certix's Role in Sustainable Supply Chain (Industry Insights & Thought Leadership);25/09/2025;;Proposal;
25;21/08/2025;Marketing Manager;Social Media Post;2;X Post (Sept 25): Glimpse into Dev Process (Behind the Scenes & Team Culture);25/09/2025;;Proposal;
26;21/08/2025;Marketing Manager;Social Media Post;3;X Post (Sept 26): Poll - Blockchain Solutions (Community Engagement & Support);26/09/2025;;Proposal;
27;21/08/2025;Marketing Manager;Social Media Post;2;Draft LinkedIn Post (Sept 2): What is an NFT in Supply Chain and Why Does it Matter?;28/08/2025;;Proposal;
28;21/08/2025;Marketing Manager;Social Media Post;2;Draft X Post (Sept 2): Blockchain & NFTs in Supply Chain;28/08/2025;;Proposal;
29;21/08/2025;Marketing Manager;Social Media Post;2;Draft LinkedIn Post (Sept 4): The Future of Transparent Supply Chains;30/08/2025;;Proposal;
30;21/08/2025;Marketing Manager;Social Media Post;2;Draft X Post (Sept 4): Poll - Supply Chain Challenges;30/08/2025;;Proposal;
31;21/08/2025;Marketing Manager;Social Media Post;3;Draft X Post (Sept 5): Behind the Scenes - Dev Team;31/08/2025;;Proposal;
32;21/08/2025;Marketing Manager;Visual Design;1;Create visual assets (logos, banners, simple infographics) based on the design brief.;15/09/2025;;Proposal;
